item_id,item_name,item_type,item_use,item_inv,item_dup,item_desc,prefab
7101,라이트 스틱,1,2,TRUE,999999,팬들의 마음이 빛으로 정화되어 남은 흔적,LightStick
7102,하트 스틱,2,2,TRUE,999999,아이돌을 향한 사랑이 담긴 응원의 증표,HeartStick
7103,함성 게이지,0,1,FALSE,0,무대를 가득 채우는 팬들의 함성,Bubble-Pink
7104,드림 에너지,3,2,TRUE,999999,꿈꾸는 사람이 갖는 미지의 에너지,Cake-256
7105,트레이닝 포인트,1,2,TRUE,999999,아이돌들을 성장시키기 위한 기초 포인트,TrainingPoint
7110,하나 캐릭터 조각,6,2,TRUE,999999,"신비한 퍼즐 조각, 빛나는 꿈의 한 조각",HanaPiece
7113,세라 캐릭터 조각,6,2,TRUE,999999,"신비한 퍼즐 조각, 빛나는 꿈의 한 조각",SeraPiece
7114,리아 캐릭터 조각,6,2,TRUE,999999,"신비한 퍼즐 조각, 빛나는 꿈의 한 조각",LiaPiece
7115,지안 캐릭터 조각,6,2,TRUE,999999,"신비한 퍼즐 조각, 빛나는 꿈의 한 조각",JianPiece
7106,승아 캐릭터 조각,6,2,TRUE,999999,"신비한 퍼즐 조각, 빛나는 꿈의 한 조각",SeungahPiece
7107,지우 캐릭터 조각,6,2,TRUE,999999,"신비한 퍼즐 조각, 빛나는 꿈의 한 조각",JiwooPiece
7108,에리 캐릭터 조각,6,2,TRUE,999999,"신비한 퍼즐 조각, 빛나는 꿈의 한 조각",EriPiece
7109,지아 캐릭터 조각,6,2,TRUE,999999,"신비한 퍼즐 조각, 빛나는 꿈의 한 조각",JiahPiece
7111,레나 캐릭터 조각,6,2,TRUE,999999,"신비한 퍼즐 조각, 빛나는 꿈의 한 조각",RenaPiece
7112,아윤 캐릭터 조각,6,2,TRUE,999999,"신비한 퍼즐 조각, 빛나는 꿈의 한 조각",AhyoonPiece
7401,검정색 크롭탑 상의,7,2,TRUE,999999,검정색 크롭탑 상의,Lock
7402,하늘색 크롭탑 상의,7,2,TRUE,999999,하늘색 크롭탑 상의,Lock
7403,노란색 크롭탑 상의,7,2,TRUE,999999,노란색 크롭탑 상의,Lock
7404,붉은색 크롭탑 상의,7,2,TRUE,999999,붉은색 크롭탑 상의,Lock
7405,청록색 크롭탑 상의,7,2,TRUE,999999,청록색 크롭탑 상의,Lock
7406,보라색 퍼프 크롭탑 상의,7,2,TRUE,999999,보라색 퍼프 크롭탑 상의,Lock
7407,붉은색 퍼프 크롭탑 상의,7,2,TRUE,999999,붉은색 퍼프 크롭탑 상의,Lock
7408,흰색 퍼프 크롭탑 상의,7,2,TRUE,999999,흰색 퍼프 크롭탑 상의,Lock
7409,노랑색 퍼프 크롭탑 상의,7,2,TRUE,999999,노랑색 퍼프 크롭탑 상의,Lock
7410,파랑색 퍼프 크롭탑 상의,7,2,TRUE,999999,파랑색 퍼프 크롭탑 상의,Lock
7411,검정색 크롭 탑 상의가죽 코르셋 상의,7,2,TRUE,999999,검정색 크롭 탑 상의가죽 코르셋 상의,Lock
7412,붉은색 크롭 탑 상의가죽 코르셋 상의,7,2,TRUE,999999,붉은색 크롭 탑 상의가죽 코르셋 상의,Lock
7413,흰색 크롭 탑 상의가죽 코르셋 상의,7,2,TRUE,999999,흰색 크롭 탑 상의가죽 코르셋 상의,Lock
7414,청록색 크롭 탑 상의가죽 코르셋 상의,7,2,TRUE,999999,청록색 크롭 탑 상의가죽 코르셋 상의,Lock
7415,핑크색 크롭 탑 상의가죽 코르셋 상의,7,2,TRUE,999999,핑크색 크롭 탑 상의가죽 코르셋 상의,Lock
7416,붉은색 코르셋 재킷 상의,7,2,TRUE,999999,붉은색 코르셋 재킷 상의,Lock
7417,노랑색 코르셋 재킷 상의,7,2,TRUE,999999,노랑색 코르셋 재킷 상의,Lock
7418,흰색 코르셋 재킷 상의,7,2,TRUE,999999,흰색 코르셋 재킷 상의,Lock
7419,파랑색 코르셋 재킷 상의,7,2,TRUE,999999,파랑색 코르셋 재킷 상의,Lock
7420,검은색 코르셋 재킷 상의,7,2,TRUE,999999,검은색 코르셋 재킷 상의,Lock
7421,검은색 리본 진주 블라우스,7,2,TRUE,999999,검은색 리본 진주 블라우스,Lock
7422,흰색 리본 진주 블라우스,7,2,TRUE,999999,흰색 리본 진주 블라우스,Lock
